date,open,close,high,low,volume,code
2018-01-02,11079.64,11178.05,11178.05,11072.87,163737774.0,399001
2018-01-03,11181.18,11280.3,11316.46,11171.12,198404750.0,399001
2018-01-04,11270.91,11341.35,11341.35,11259.46,180376491.0,399001
2018-01-05,11339.57,11342.85,11372.29,11310.29,187950133.0,399001
2018-01-08,11343.82,11382.72,11386.04,11287.6,203604071.0,399001
2018-01-09,11371.93,11447.09,11449.6,11358.13,184081836.0,399001
2018-01-10,11439.22,11437.08,11446.41,11345.1,196342709.0,399001
2018-01-11,11411.58,11464.2,11482.81,11372.36,189897902.0,399001
2018-01-12,11459.46,11461.99,11496.53,11420.26,186021470.0,399001
2018-01-15,11453.33,11307.46,11476.58,11277.31,224433734.0,399001
2018-01-16,11283.6,11386.91,11402.46,11283.29,192863411.0,399001
2018-01-17,11366.6,11303.97,11367.16,11185.92,213515921.0,399001
2018-01-18,11287.64,11319.91,11375.11,11279.42,155610115.0,399001
2018-01-19,11314.46,11296.27,11393.04,11276.57,183429288.0,399001
2018-01-22,11289.86,11513.08,11513.08,11273.69,181074818.0,399001
2018-01-23,11514.56,11555.25,11564.95,11493.74,174188769.0,399001
2018-01-24,11548.21,11607.57,11613.96,11456.26,210735223.0,399001
2018-01-25,11588.38,11552.56,11633.46,11548.68,213762239.0,399001
2018-01-26,11524.7,11557.82,11605.13,11512.94,175611738.0,399001
2018-01-29,11547.68,11352.72,11556.65,11323.69,199666078.0,399001
2018-01-30,11319.97,11278.78,11370.0,11260.31,157973243.0,399001
2018-01-31,11210.06,11159.68,11244.18,11119.32,194794973.0,399001
2018-02-01,11145.41,10864.34,11171.36,10836.35,224818677.0,399001
2018-02-02,10794.13,10925.16,10933.16,10663.54,184626569.0,399001
2018-02-05,10761.08,10836.25,10873.24,10741.85,148705223.0,399001
2018-02-06,10603.54,10377.61,10685.16,10377.61,196877410.0,399001
2018-02-07,10563.31,10246.97,10599.54,10173.66,185364908.0,399001
2018-02-08,10219.39,10372.59,10411.2,10219.21,154429802.0,399001
2018-02-09,10096.46,10001.23,10172.78,9868.83,193571354.0,399001
2018-02-12,10059.86,10291.88,10325.68,10059.86,144996154.0,399001
2018-02-13,10367.68,10362.43,10486.81,10350.17,142167333.0,399001
2018-02-14,10381.16,10431.91,10433.09,10319.15,100082438.0,399001
2018-02-22,10547.81,10658.94,10667.8,10526.98,136170478.0,399001
2018-02-23,10667.81,10662.79,10700.11,10578.79,140530855.0,399001
2018-02-26,10731.31,10895.56,10920.21,10670.17,200183490.0,399001
2018-02-27,10898.29,10807.53,10915.36,10791.95,195932779.0,399001
2018-02-28,10705.81,10828.73,10875.71,10656.36,186638953.0,399001
2018-03-01,10754.62,10943.13,10943.13,10732.93,190070304.0,399001
2018-03-02,10857.87,10856.25,10947.39,10840.01,184646816.0,399001
2018-03-05,10882.87,10875.68,10913.03,10813.46,159549538.0,399001
2018-03-06,10909.28,11007.95,11007.95,10873.85,206525497.0,399001
2018-03-07,10993.95,10904.99,11031.48,10897.58,179148337.0,399001
2018-03-08,10902.35,11019.08,11019.08,10892.18,165203174.0,399001
2018-03-09,11040.37,11194.91,11203.72,11030.55,234555468.0,399001
2018-03-12,11266.32,11326.27,11328.77,11260.46,261773246.0,399001
2018-03-13,11311.04,11241.41,11335.3,11236.38,227848425.0,399001
2018-03-14,11198.77,11139.63,11242.3,11138.39,196067737.0,399001
2018-03-15,11100.53,11163.65,11195.94,11051.62,187573554.0,399001
2018-03-16,11166.43,11051.12,11192.36,11051.12,169598355.0,399001
2018-03-19,11046.03,11068.49,11120.75,10994.68,165819447.0,399001
2018-03-20,10982.73,11077.8,11082.03,10951.99,177360077.0,399001
2018-03-21,11100.91,10980.55,11170.56,10973.58,202472474.0,399001
2018-03-22,10988.83,10877.25,11035.58,10858.44,175778163.0,399001
2018-03-23,10511.16,10439.99,10664.93,10256.5,282412822.0,399001
2018-03-26,10303.75,10564.38,10564.38,10217.22,195798888.0,399001
2018-03-27,10683.16,10775.71,10799.37,10675.5,222882762.0,399001
2018-03-28,10633.7,10630.69,10768.48,10613.06,204801306.0,399001
2018-03-29,10676.56,10755.92,10778.8,10564.29,192574640.0,399001
2018-03-30,10776.71,10868.66,10883.05,10766.53,209103163.0,399001
2018-04-02,10887.47,10852.95,10950.22,10835.71,238742940.0,399001
2018-04-03,10718.43,10754.29,10783.93,10667.33,208204043.0,399001
2018-04-04,10778.86,10684.56,10829.82,10678.94,193163743.0,399001
2018-04-09,10655.07,10653.38,10725.11,10571.16,185794685.0,399001
2018-04-10,10671.69,10765.62,10765.62,10628.24,199741594.0,399001
2018-04-11,10796.5,10808.37,10856.44,10786.84,191004361.0,399001
2018-04-12,10797.35,10726.96,10825.66,10720.83,171686889.0,399001
2018-04-13,10789.77,10687.02,10825.67,10670.65,161837312.0,399001
2018-04-16,10660.69,10621.79,10704.39,10540.69,188159462.0,399001
2018-04-17,10636.88,10395.16,10669.15,10390.05,202286400.0,399001
2018-04-18,10477.52,10491.15,10514.74,10249.87,215834944.0,399001
2018-04-19,10502.36,10598.35,10646.7,10485.41,203988578.0,399001
2018-04-20,10571.99,10408.91,10619.17,10392.69,196805692.0,399001
2018-04-23,10416.78,10330.63,10471.21,10228.09,179579807.0,399001
2018-04-24,10325.51,10556.82,10556.82,10325.51,190970006.0,399001
2018-04-25,10503.94,10547.1,10579.18,10488.87,183348346.0,399001
2018-04-26,10495.03,10292.12,10508.01,10290.37,186332439.0,399001
2018-04-27,10353.02,10324.47,10382.77,10239.97,164776511.0,399001
2018-05-02,10356.19,10342.85,10433.28,10283.52,160567095.0,399001
2018-05-03,10329.16,10458.62,10459.38,10228.26,177743321.0,399001
2018-05-04,10428.85,10426.19,10490.06,10411.83,150582422.0,399001
2018-05-07,10456.43,10626.51,10626.51,10450.49,174177180.0,399001
2018-05-08,10632.11,10707.8,10721.98,10630.58,182770938.0,399001
2018-05-09,10693.21,10689.07,10705.15,10639.92,169498644.0,399001
2018-05-10,10706.73,10729.77,10742.64,10651.87,180925300.0,399001
2018-05-11,10748.89,10634.3,10752.83,10634.23,180171412.0,399001
2018-05-14,10649.11,10671.46,10723.79,10641.29,169570273.0,399001
2018-05-15,10692.82,10747.99,10747.99,10632.55,157932634.0,399001
2018-05-16,10713.59,10701.32,10776.43,10691.14,165521883.0,399001
2018-05-17,10702.07,10635.5,10713.71,10615.92,150682885.0,399001
2018-05-18,10623.91,10672.52,10679.51,10557.75,154568052.0,399001
2018-05-21,10741.19,10765.35,10789.76,10731.61,191005737.0,399001
2018-05-22,10754.7,10765.8,10765.8,10689.51,179543850.0,399001
2018-05-23,10746.82,10631.12,10746.82,10631.12,186496581.0,399001
2018-05-24,10632.5,10564.13,10657.45,10552.35,158449317.0,399001
2018-05-25,10550.63,10448.22,10576.81,10435.95,172760872.0,399001
2018-05-28,10439.65,10465.54,10536.57,10382.72,169664088.0,399001
